account,start_trade,fee_paid,p1_pnl,p2_pnl,funded_gross_pnl,funded_payouts_count,funded_payouts_gross,challenge_bonus,fee_reimbursed,blown_phase,reason,p1_trades,p2_trades,funded_trades,days_stopped,net_per_account
1,0,550,-5458.4431450410775,0.0,0.0,0,0.0,0.0,0.0,p1,trail_dd,13,0,0,3,-550.0
2,13,550,-4295.613011373178,0.0,0.0,0,0.0,0.0,0.0,p1,trail_dd,40,0,0,5,-550.0
3,53,550,-1492.1022015488852,0.0,0.0,0,0.0,0.0,0.0,p1,trail_dd,12,0,0,2,-550.0
4,65,550,8492.828862621041,-3603.716000136541,0.0,0,0.0,0.0,0.0,p2,trail_dd,27,17,0,2,-550.0
5,109,550,8424.05620264246,-2075.4709192317096,0.0,0,0.0,0.0,0.0,p2,trail_dd,35,8,0,3,-550.0
6,152,550,9275.52617082512,-1032.3667581637565,0.0,0,0.0,0.0,0.0,p2,trail_dd,41,7,0,3,-550.0
7,200,550,2290.797946695995,0.0,0.0,0,0.0,0.0,0.0,p1,trail_dd,38,0,0,3,-550.0
8,238,550,-2971.7141993154073,0.0,0.0,0,0.0,0.0,0.0,incomplete,trades_exhausted,24,0,0,3,-550.0
