year,trades,mean_R,sum_R,win_%
2016,8,-0.108,-0.867,37.5
2017,86,0.091,7.841,44.186
2018,91,-0.061,-5.57,47.253
2019,83,-0.042,-3.485,44.578
2020,76,0.155,11.766,55.263
