month,trades,wins,losses,win_rate_pct,mean_R,total_R,net_pnl
2024-08,26,15,11,57.7,0.586,15.243,1524.31
2024-09,21,12,9,57.1,0.595,12.496,1249.58
2024-10,18,4,14,22.2,-0.501,-9.012,-901.21
2024-11,14,6,8,42.9,0.126,1.759,175.89
2024-12,10,3,7,30.0,-0.326,-3.261,-326.06
2025-01,30,17,13,56.7,0.585,17.536,1753.61
2025-02,25,13,12,52.0,0.446,11.141,1114.07
2025-03,17,8,9,47.1,0.344,5.84,584.01
2025-04,2,1,1,50.0,0.377,0.755,75.46
2025-05,18,6,12,33.3,-0.145,-2.611,-261.15
2025-06,22,9,13,40.9,0.027,0.585,58.48
2025-07,22,13,9,59.1,0.546,12.005,1200.5
2025-08,16,10,6,62.5,0.718,11.49,1149.0
2025-09,19,10,9,52.6,0.378,7.182,718.24
