year,trades,hit_%,avg_r,sum_r,pnl_$,PF
2016,7.0,0.0,-1.0,-7.0,-713.0,0.0
2017,101.0,17.8,0.2758,27.856,3112.0,1.393
2018,120.0,17.5,0.6586,79.032,14385.0,1.626
2019,117.0,17.1,0.3006,35.166,4981.0,1.249
2020,146.0,12.3,-0.0134,-1.956,-17745.0,0.709
2021,144.0,13.9,0.0474,6.822,2165.0,1.044
2022,144.0,16.7,0.1398,20.132,10768.0,1.133
2023,130.0,14.6,0.2231,29.003,12002.0,1.268
2024,165.0,16.4,0.1307,21.561,7197.0,1.102
2025,97.0,16.5,0.0616,5.978,4524.0,1.082
