,trades,wins,losses,win_rate_%,expectancy_R,total_R,PF,net_pnl_$,max_dd_$,max_dd_%,final_eq_$
OOS 2016-2020,344.0,163.0,181.0,47.383720930232556,0.02815597131524974,9.685654132445912,1.0762700677694654,968.5654132445911,-1659.316768271532,-14.85888130457759,10968.565413244592
IS 2020-2025,429.0,231.0,198.0,53.84615384615385,0.13392994028581268,57.45594438261364,1.397906258698665,5745.5944382613625,-1315.3244741624912,-11.525186077385028,15745.594438261363
